"","A","B","C","D","E","F","G","round"
"1",0,24,0,24,24,28,0,"round1"
"2",0,0,0,0,0,50,50,"round1"
"3",2,2,2,2,2,40,48,"round1"
"4",0,1,4,10,15,45,25,"round1"
"5",0,10,10,15,15,50,0,"round1"
"6",5,0,0,25,0,0,70,"round1"
"7",2,2,10,15,20,20,30,"round1"
"8",0,0,0,0,15,16,69,"round1"
"9",4,6,10,0,30,50,0,"round1"
"10",0,0,0,0,0,30,70,"round1"
"11",10,10,10,20,20,20,10,"round1"
"12",10,10,10,20,20,20,10,"round1"
"13",1,8,11,0,0,0,80,"round1"
"14",2,8,16,2,0,0,72,"round1"
"15",1,1,8,15,30,45,0,"round1"
"16",10,10,10,20,20,30,0,"round1"
"17",0,10,0,20,10,0,60,"round1"
"18",5,5,10,20,10,20,30,"round1"
"19",10,10,10,10,20,20,20,"round1"
"20",0,0,10,20,20,20,30,"round1"
"21",0,10,10,20,20,20,20,"round1"
"22",0,10,10,20,20,20,20,"round1"
"23",0,0,0,0,40,0,60,"round1"
"24",0,0,0,0,40,0,60,"round1"
"25",1,1,1,40,6,50,1,"round1"
"26",0,10,10,10,0,0,70,"round1"
"27",1,6,1,20,1,1,70,"round1"
"28",1,6,1,20,1,1,70,"round1"
"29",1,0,4,15,0,0,80,"round1"
"30",1,1,4,0,23,0,71,"round1"
"31",0,0,0,0,10,0,90,"round1"
"32",4,4,4,12,15,15,46,"round1"
"33",1,1,1,1,0,0,96,"round1"
"34",0,2,0,23,24,25,26,"round1"
"35",0,0,0,5,25,35,35,"round1"
"36",0,0,2,8,30,10,50,"round1"
"37",1,1,2,15,23,57,1,"round1"
"38",0,0,0,3,15,23,59,"round1"
"39",8,10,10,11,14,17,30,"round1"
"40",0,0,2,3,32,7,56,"round1"
"41",0,0,0,2,34,7,57,"round1"
"42",0,0,0,0,45,0,55,"round1"
"43",0,0,0,0,10,30,60,"round1"
"44",0,0,0,0,26,3,71,"round1"
"45",23,13,31,15,6,2,10,"round1"
"46",1,5,5,5,34,50,0,"round1"
"47",2,3,5,5,35,50,0,"round1"
"48",7,7,8,8,18,25,27,"round1"
"49",2,3,8,12,20,25,30,"round1"
"50",0,0,0,0,40,0,60,"round1"
"51",1,4,5,10,40,40,0,"round1"
"52",5,5,5,5,20,15,45,"round1"
"53",0,0,5,5,30,10,50,"round1"
"54",1,3,5,6,20,30,35,"round1"
"55",1,5,0,20,37,37,0,"round1"
"56",4,5,10,15,4,3,59,"round1"
"57",0,0,0,0,5,37,58,"round1"
"58",10,10,10,10,15,15,30,"round1"
"59",2,3,10,10,0,0,75,"round1"
"60",6,10,10,10,27,37,0,"round1"
"61",3,5,7,17,30,38,0,"round1"
"62",1,1,1,2,5,20,70,"round1"
"63",5,0,0,15,30,50,0,"round1"
"64",5,5,10,10,25,45,0,"round1"
"65",3,2,2,20,40,16,17,"round1"
"66",3,3,3,14,39,25,13,"round1"
"67",2,2,3,15,40,30,8,"round1"
"68",1,1,3,5,10,15,65,"round1"
"69",1,1,4,4,15,35,40,"round1"
"70",0,0,5,0,15,40,40,"round1"
"71",5,5,10,0,0,0,80,"round1"
"72",0,0,0,0,15,0,85,"round1"
"73",0,0,12,13,35,40,0,"round1"
"74",9,10,20,0,0,0,61,"round1"
"75",5,5,25,1,1,2,61,"round1"
"76",0,3,11,16,30,33,7,"round1"
"77",5,5,5,10,15,30,30,"round1"
"78",0,0,10,10,20,45,15,"round1"
"79",0,15,15,0,0,25,45,"round1"
"80",0,0,2,3,32,7,56,"round1"
"81",0,0,1,2,25,2,70,"round1"
